Region,Date,NewCases,Humidity_x,PopulationDensity,OutbreakRisk,Temperature,Humidity_y,Rainfall
Mumbai,2023-01-01,120,85,20000,1,28,85,12.5
Delhi,2023-01-01,80,60,15000,0,32,60,5.0
Chennai,2023-01-01,200,90,18000,1,35,90,20.0
Kolkata,2023-01-01,50,70,17000,0,30,70,8.5
Bengaluru,2023-01-01,150,75,19000,1,25,75,15.0
Mumbai,2023-01-02,130,82,20000,1,29,82,10.0
Delhi,2023-01-02,85,65,15000,0,33,65,4.5
Mumbai,2023-01-03,141,46,20000,0,22,46,0
Delhi,2023-01-03,113,60,15000,1,39,60,0
Chennai,2023-01-03,186,73,18000,1,30,73,0.7
Kolkata,2023-01-03,198,62,17000,0,28,62,3.0
Bengaluru,2023-01-03,228,69,19000,1,21,69,5.3
Hyderabad,2023-01-03,131,20,12000,1,32,20,5.5
Ahmedabad,2023-01-03,67,76,10000,0,16,76,2.7
Pune,2023-01-03,173,23,11000,1,34,23,0.9
Jaipur,2023-01-03,149,37,8000,0,24,37,1.3
Lucknow,2023-01-03,167,57,9000,0,39,57,2.5
Nagpur,2023-01-03,66,60,7500,0,30,60,0
Indore,2023-01-03,107,54,7000,0,28,54,2.3
Bhopal,2023-01-03,57,73,6500,0,20,73,0.9
Surat,2023-01-03,169,67,9500,0,32,67,0
Vadodara,2023-01-03,113,56,7800,0,14,56,2.7
Coimbatore,2023-01-03,136,36,8500,0,27,36,1.4
Kochi,2023-01-03,170,47,9200,0,22,47,18.0
Thiruvananthapuram,2023-01-03,194,54,8800,0,28,54,16.1
Visakhapatnam,2023-01-03,229,71,8000,0,28,71,0
Vijayawada,2023-01-03,175,50,7600,0,36,50,3.6
Guwahati,2023-01-03,118,54,6000,0,15,54,13.6
Patna,2023-01-03,178,28,8200,0,19,28,0
Ranchi,2023-01-03,112,23,5500,0,12,23,6.4
Bhubaneswar,2023-01-03,87,71,7000,1,17,71,8.6
Raipur,2023-01-03,97,24,6200,0,22,24,4.2
Chandigarh,2023-01-03,240,59,9800,0,6,59,2.6
Dehradun,2023-01-03,130,56,7200,0,7,56,2.1
Shimla,2023-01-03,183,42,5000,0,12,42,7.7
Srinagar,2023-01-03,136,57,6500,0,14,57,3.9
Jammu,2023-01-03,137,70,7800,0,20,70,0
Goa,2023-01-03,226,61,2500,0,24,61,3.9
Mangalore,2023-01-03,226,54,6800,0,18,54,1.6
Mysore,2023-01-03,111,30,7500,0,28,30,0
Pondicherry,2023-01-03,80,62,8000,0,28,62,4.1
Madurai,2023-01-03,154,74,7200,1,31,74,11.5
Mumbai,2023-01-04,163,79,20000,1,22,79,0
Delhi,2023-01-04,104,41,15000,1,40,41,1.1
Chennai,2023-01-04,204,43,18000,1,21,43,5.7
Kolkata,2023-01-04,131,64,17000,0,19,64,22.0
Bengaluru,2023-01-04,105,28,19000,1,24,28,12.8
Hyderabad,2023-01-04,111,26,12000,0,21,26,1.7
Ahmedabad,2023-01-04,56,25,10000,0,35,25,2.7
Pune,2023-01-04,216,32,11000,0,21,32,1.7
Jaipur,2023-01-04,205,20,8000,0,12,20,0
Lucknow,2023-01-04,85,32,9000,0,36,32,0.9
Nagpur,2023-01-04,171,40,7500,0,36,40,0
Indore,2023-01-04,107,43,7000,0,29,43,0
Bhopal,2023-01-04,111,44,6500,0,35,44,0.2
Surat,2023-01-04,142,28,9500,0,21,28,1.2
Vadodara,2023-01-04,42,30,7800,0,21,30,1.7
Coimbatore,2023-01-04,153,52,8500,0,15,52,9.7
Kochi,2023-01-04,101,65,9200,0,22,65,2.3
Thiruvananthapuram,2023-01-04,49,59,8800,0,23,59,6.4
Visakhapatnam,2023-01-04,57,52,8000,1,33,52,9.4
Vijayawada,2023-01-04,86,35,7600,0,35,35,5.0
Guwahati,2023-01-04,52,51,6000,0,13,51,1.0
Patna,2023-01-04,57,42,8200,0,29,42,2.7
Ranchi,2023-01-04,129,32,5500,0,31,32,0.3
Bhubaneswar,2023-01-04,269,68,7000,0,32,68,1.0
Raipur,2023-01-04,150,34,6200,0,34,34,1.7
Chandigarh,2023-01-04,126,62,9800,0,8,62,2.8
Dehradun,2023-01-04,72,36,7200,0,2,36,2.4
Shimla,2023-01-04,164,29,5000,0,0,29,6.8
Srinagar,2023-01-04,133,49,6500,0,0,49,10.5
Jammu,2023-01-04,137,52,7800,0,33,52,2.1
Goa,2023-01-04,144,65,2500,0,17,65,0.6
Mangalore,2023-01-04,163,54,6800,0,27,54,15.6
Mysore,2023-01-04,73,49,7500,0,29,49,1.8
Pondicherry,2023-01-04,208,70,8000,0,27,70,2.4
Madurai,2023-01-04,211,50,7200,1,31,50,7.6
Mumbai,2023-01-05,74,58,20000,0,27,58,3.8
Delhi,2023-01-05,208,28,15000,1,33,28,1.9
Chennai,2023-01-05,270,66,18000,1,32,66,6.5
Kolkata,2023-01-05,154,61,17000,1,22,61,5.1
Bengaluru,2023-01-05,220,46,19000,1,24,46,9.9
Hyderabad,2023-01-05,127,56,12000,0,19,56,2.8
Ahmedabad,2023-01-05,70,31,10000,0,38,31,2.1
Pune,2023-01-05,118,32,11000,0,18,32,1.3
Jaipur,2023-01-05,44,23,8000,0,19,23,2.3
Lucknow,2023-01-05,122,22,9000,0,19,22,1.6
Nagpur,2023-01-05,29,63,7500,0,15,63,0
Indore,2023-01-05,57,24,7000,0,33,24,3.3
Bhopal,2023-01-05,51,23,6500,0,29,23,0.0
Surat,2023-01-05,71,34,9500,0,34,34,0
Vadodara,2023-01-05,49,56,7800,0,27,56,2.9
Coimbatore,2023-01-05,54,50,8500,0,18,50,8.4
Kochi,2023-01-05,204,55,9200,0,17,55,9.0
Thiruvananthapuram,2023-01-05,244,49,8800,0,28,49,16.9
Visakhapatnam,2023-01-05,116,49,8000,0,24,49,2.4
Vijayawada,2023-01-05,174,55,7600,0,26,55,7.5
Guwahati,2023-01-05,132,62,6000,0,15,62,12.8
Patna,2023-01-05,47,67,8200,0,25,67,5.3
Ranchi,2023-01-05,49,54,5500,0,23,54,5.3
Bhubaneswar,2023-01-05,41,60,7000,0,17,60,9.3
Raipur,2023-01-05,228,35,6200,0,36,35,3.8
Chandigarh,2023-01-05,100,20,9800,0,26,20,3.9
Dehradun,2023-01-05,212,62,7200,0,16,62,0.2
Shimla,2023-01-05,128,46,5000,0,0,46,0
Srinagar,2023-01-05,53,78,6500,0,13,78,0.9
Jammu,2023-01-05,136,70,7800,0,10,70,2.3
Goa,2023-01-05,67,73,2500,0,22,73,0
Mangalore,2023-01-05,274,75,6800,1,21,75,11.5
Mysore,2023-01-05,202,49,7500,0,24,49,7.3
Pondicherry,2023-01-05,122,54,8000,0,21,54,10.2
Madurai,2023-01-05,105,64,7200,1,33,64,14.7
Mumbai,2023-01-06,200,43,20000,1,30,43,12.0
Delhi,2023-01-06,98,32,15000,0,24,32,2.7
Chennai,2023-01-06,316,48,18000,1,27,48,10.3
Kolkata,2023-01-06,205,44,17000,1,19,44,14.2
Bengaluru,2023-01-06,100,62,19000,0,26,62,0.5
Hyderabad,2023-01-06,107,20,12000,1,38,20,6.4
Ahmedabad,2023-01-06,122,24,10000,0,13,24,0
Pune,2023-01-06,201,59,11000,1,30,59,2.5
Jaipur,2023-01-06,58,20,8000,0,16,20,3.9
Lucknow,2023-01-06,197,34,9000,0,24,34,2.7
Nagpur,2023-01-06,85,52,7500,0,33,52,3.2
Indore,2023-01-06,77,57,7000,0,17,57,3.5
Bhopal,2023-01-06,95,33,6500,0,25,33,2.9
Surat,2023-01-06,143,45,9500,0,32,45,1.7
Vadodara,2023-01-06,76,26,7800,0,30,26,0
Coimbatore,2023-01-06,102,64,8500,0,16,64,8.1
Kochi,2023-01-06,278,54,9200,0,28,54,10.6
Thiruvananthapuram,2023-01-06,38,52,8800,0,28,52,13.3
Visakhapatnam,2023-01-06,39,66,8000,0,25,66,3.1
Vijayawada,2023-01-06,200,75,7600,1,34,75,2.3
Guwahati,2023-01-06,229,70,6000,1,19,70,6.7
Patna,2023-01-06,174,59,8200,0,19,59,0.8
Ranchi,2023-01-06,76,52,5500,0,10,52,5.3
Bhubaneswar,2023-01-06,187,38,7000,0,28,38,0.0
Raipur,2023-01-06,61,55,6200,0,26,55,2.7
Chandigarh,2023-01-06,120,25,9800,0,13,25,0
Dehradun,2023-01-06,209,67,7200,0,0,67,2.0
Shimla,2023-01-06,105,47,5000,0,0,47,2.3
Srinagar,2023-01-06,59,36,6500,0,0,36,7.5
Jammu,2023-01-06,258,25,7800,0,27,25,4.9
Goa,2023-01-06,99,55,2500,0,21,55,7.3
Mangalore,2023-01-06,48,66,6800,0,16,66,2.4
Mysore,2023-01-06,104,51,7500,0,15,51,3.8
Pondicherry,2023-01-06,200,61,8000,0,22,61,1.2
Madurai,2023-01-06,210,65,7200,0,19,65,4.5
Mumbai,2023-01-07,104,49,20000,0,26,49,0.7
Delhi,2023-01-07,78,61,15000,0,26,61,3.2
Chennai,2023-01-07,145,73,18000,1,25,73,14.3
Kolkata,2023-01-07,249,44,17000,0,26,44,4.2
Bengaluru,2023-01-07,63,41,19000,0,22,41,0
Hyderabad,2023-01-07,134,41,12000,1,25,41,6.1
Ahmedabad,2023-01-07,119,68,10000,0,16,68,0
Pune,2023-01-07,126,62,11000,1,24,62,5.2
Jaipur,2023-01-07,147,20,8000,0,37,20,3.9
Lucknow,2023-01-07,295,70,9000,0,21,70,0.8
Nagpur,2023-01-07,128,45,7500,0,25,45,2.0
Indore,2023-01-07,233,62,7000,0,18,62,4.3
Bhopal,2023-01-07,97,23,6500,0,28,23,1.4
Surat,2023-01-07,113,39,9500,0,19,39,0
Vadodara,2023-01-07,52,57,7800,0,22,57,2.2
Coimbatore,2023-01-07,85,29,8500,0,28,29,10.9
Kochi,2023-01-07,101,50,9200,0,26,50,15.4
