Region,Date,NewCases,Humidity,PopulationDensity,OutbreakRisk
Mumbai,2023-01-01,120,85,20000,1
Delhi,2023-01-01,80,60,15000,0
Chennai,2023-01-01,200,90,18000,1
Kolkata,2023-01-01,50,70,17000,0
Bengaluru,2023-01-01,150,75,19000,1
Mumbai,2023-01-02,130,82,20000,1
Delhi,2023-01-02,85,65,15000,0
Mumbai,2023-01-03,141,46,20000,0
Delhi,2023-01-03,113,60,15000,1
Chennai,2023-01-03,186,73,18000,1
Kolkata,2023-01-03,198,62,17000,0
Bengaluru,2023-01-03,228,69,19000,1
Hyderabad,2023-01-03,131,20,12000,1
Ahmedabad,2023-01-03,67,76,10000,0
Pune,2023-01-03,173,23,11000,1
Jaipur,2023-01-03,149,37,8000,0
Lucknow,2023-01-03,167,57,9000,0
Nagpur,2023-01-03,66,60,7500,0
Indore,2023-01-03,107,54,7000,0
Bhopal,2023-01-03,57,73,6500,0
Surat,2023-01-03,169,67,9500,0
Vadodara,2023-01-03,113,56,7800,0
Coimbatore,2023-01-03,136,36,8500,0
Kochi,2023-01-03,170,47,9200,0
Thiruvananthapuram,2023-01-03,194,54,8800,0
Visakhapatnam,2023-01-03,229,71,8000,0
Vijayawada,2023-01-03,175,50,7600,0
Guwahati,2023-01-03,118,54,6000,0
Patna,2023-01-03,178,28,8200,0
Ranchi,2023-01-03,112,23,5500,0
Bhubaneswar,2023-01-03,87,71,7000,1
Raipur,2023-01-03,97,24,6200,0
Chandigarh,2023-01-03,240,59,9800,0
Dehradun,2023-01-03,130,56,7200,0
Shimla,2023-01-03,183,42,5000,0
Srinagar,2023-01-03,136,57,6500,0
Jammu,2023-01-03,137,70,7800,0
Goa,2023-01-03,226,61,2500,0
Mangalore,2023-01-03,226,54,6800,0
Mysore,2023-01-03,111,30,7500,0
Pondicherry,2023-01-03,80,62,8000,0
Madurai,2023-01-03,154,74,7200,1
Mumbai,2023-01-04,163,79,20000,1
Delhi,2023-01-04,104,41,15000,1
Chennai,2023-01-04,204,43,18000,1
Kolkata,2023-01-04,131,64,17000,0
Bengaluru,2023-01-04,105,28,19000,1
